0,11 Comae Berenices b,305,6149.8,4.74,2007,Gas Giant,12.096,1.29 AU,326,0.23,11 Com,Radial Velocity,,,12h20m43.03s,+17d47m34.3s,4742,2.7,19,412.7320808
1,11 Ursae Minoris b,410,4672.58,5.016,2009,Gas Giant,12.208,1.53 AU,511,0.08,11 UMi,Radial Velocity,,,15h17m05.89s,+71d49m26.0s,4213,2.78,29.79,307.8637079
2,14 Andromedae b,247,1521.6,5.227,2008,Gas Giant,12.88,0.83 AU,185.8,0,14 And,Radial Velocity,,,23h31m17.42s,+39d14m10.3s,4813,2.2,11,90.06572821
3,14 Herculis b,59,1477.22,6.61,2002,Gas Giant,12.88,2.93 AU,1788.5,0.37,14 Her,Radial Velocity,,,16h10m24.31s,+43d49m03.5s,5338,0.9,0.93,87.43881113
4,16 Cygni B b,69,564.26,6.25,1996,Gas Giant,13.44,1.66 AU,803,0.68,16 Cyg B,Radial Velocity,,,19h41m51.97s,+50d31m03.1s,5750,1.08,1.13,30.67407805
5,18 Delphini b,249,3265.1,5.506,2008,Gas Giant,12.432,2.6 AU,985.5,0.08,18 Del,Radial Velocity,,,20h58m25.94s,+10d50m21.4s,4979,2.3,8.5,207.4461004
6,1RXS J160929.1-210524 b,473,2536,12.057,2008,Gas Giant,18.6368,330.0 AU,2374653.5,0,1RXS J160929.1-210524,Imaging,,,16h09m30.30s,-21d04m58.9s,4060,0.85,,71.69640027
7,24 Bootis b,314,288.47,5.58,2018,Gas Giant,13.888,0.19 AU,30.4,0.04,24 Boo,Radial Velocity,,,14h28m37.81s,+49d50m41.5s,4893,0.99,10.64,14.68628765
8,24 Sextantis b,236,630.83,6.441,2010,Gas Giant,13.328,1.333 AU,452.8,0.09,24 Sex,Radial Velocity,,,10h23m28.37s,-00d54m08.1s,5098,1.54,4.9,34.87170336
9,24 Sextantis c,236,272.62,6.441,2010,Gas Giant,13.888,2.08 AU,876,0.29,24 Sex,Radial Velocity,,,10h23m28.37s,-00d54m08.1s,5098,1.54,4.9,13.87934877
10,2MASS J01033563-5515561 AB b,154,4121,,2013,Gas Giant,12.32,84.0 AU,645028,0,2MASS J01033563-5515561 A,Imaging,,,01h03m35.63s,-55d15m56.1s,,0.19,,266.6072714
11,2MASS J01225093-2439505 b,117,7766.5,14.24,2013,Gas Giant,11.2,52.0 AU,216518,0,2MASS J01225093-2439505,Imaging,,,01h22m50.94s,-24d39m50.6s,3530,0.4,,607.96712
12,2MASS J02192210-3925225 b,129,4406.3,15.012,2015,Gas Giant,16.128,156.0 AU,2145506.5,0,2MASS J02192210-3925225,Imaging,,,02h19m22.11s,-39d25m22.5s,3064,0.11,0.28,166.3427297
13,2MASS J04414489+2301513 b,457,2377.5,18.967,2010,Gas Giant,12.656,15.0 AU,150015,0,2MASS J04414489+2301513,Imaging,,,04h41m44.90s,+23d01m51.4s,,0.02,,145.753296
14,2MASS J12073346-3932539 b,210,1268,20.15,2004,Gas Giant,12.992,46.0 AU,805664.5,0,2MASS J12073346-3932539,Imaging,,,12h07m33.47s,-39d32m54.0s,,0.02,,73.76630348
15,2MASS J19383260+4603591 b,1307,602.3,12.138,2015,Gas Giant,13.44,0.92 AU,416,0,2MASS J19383260+4603591,Eclipse Timing Variations,,,19h38m32.61s,+46d03m59.1s,,0.48,,32.74199342
16,2MASS J21402931+1625183 A b,82,6641.15,17.396,2009,Gas Giant,10.304,Unknown,7336.5,0.26,2MASS J21402931+1625183 A,Imaging,46.2,,21h40m29.32s,+16d25m18.3s,2300,0.08,0.12,614.2177754
17,2MASS J22362452+4751425 b,241,3962.5,12.51,2016,Gas Giant,12.32,230.0 AU,1644580.5,0,2MASS J22362452+4751425,Imaging,,,22h36m24.53s,+47d51m42.6s,4045,0.6,,256.3531456
